Neighbourhood,Arts & Entertainment,College & University,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
Berczy Park,12,0,37,4,22,2,0,17,6
"Brockton, Parkdale Village, Exhibition Place",8,0,54,13,14,1,0,8,2
"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",0,0,61,11,14,1,0,13,0
"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",13,0,33,7,27,1,0,9,10
Central Bay Street,11,0,52,3,12,2,0,14,6
Christie,4,1,55,13,9,1,0,16,1
Church and Wellesley,7,0,49,4,18,2,0,16,4
"Commerce Court, Victoria Hotel",13,0,39,4,21,2,0,16,5
Davisville,1,0,63,2,15,0,0,18,1
Davisville North,1,1,62,2,17,0,0,17,0
"Dufferin, Dovercourt Village",2,0,46,12,6,1,0,10,0
"First Canadian Place, Underground city",12,0,42,2,24,2,0,14,4
"Forest Hill North & West, Forest Hill Road Park",1,0,56,5,15,0,0,22,1
"Garden District, Ryerson",11,0,46,3,17,2,0,15,6
"Harbourfront East, Union Station, Toronto Islands",11,0,42,2,26,1,0,12,6
"High Park, The Junction South",2,0,47,9,14,0,0,28,0
"India Bazaar, The Beaches West",1,0,49,15,16,1,0,17,1
"Kensington Market, Chinatown, Grange Park",10,0,49,2,19,2,0,13,5
Lawrence Park,1,0,51,3,14,1,0,19,0
"Little Portugal, Trinity",5,0,61,12,9,0,0,13,0
"Moore Park, Summerhill East",1,0,57,4,15,0,0,22,1
"North Toronto West, Lawrence Park",1,0,67,2,15,0,0,15,0
"Parkdale, Roncesvalles",1,0,54,7,24,2,0,12,0
"Queen's Park, Ontario Provincial Government",10,0,53,5,13,1,0,14,4
"Regent Park, Harbourfront",4,0,58,7,12,0,0,14,5
"Richmond, Adelaide, King",12,0,45,4,22,1,0,12,4
Rosedale,3,0,47,6,16,1,0,25,2
Roselawn,1,0,59,4,11,0,0,25,0
"Runnymede, Swansea",4,0,48,6,16,1,1,22,2
St. James Town,13,0,41,5,22,2,0,13,4
"St. James Town, Cabbagetown",5,0,53,6,14,1,0,15,6
Stn A PO Boxes,14,0,36,5,23,1,0,16,5
Studio District,5,0,58,10,15,3,0,8,1
"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",1,0,57,6,13,0,0,21,2
"The Annex, North Midtown, Yorkville",3,0,52,7,10,2,0,24,2
The Beaches,1,0,50,7,15,0,0,26,1
"The Danforth West, Riverdale",3,0,65,10,12,0,0,10,0
"Toronto Dominion Centre, Design Exchange",12,0,41,2,23,2,0,15,5
"University of Toronto, Harbord",6,0,49,8,11,1,0,22,3
