Neighbourhood,Arts & Entertainment,Food,Nightlife Spot,Outdoors & Recreation,Shop & Service,Travel & Transport
Rumworth,0,4,0,1,3,0
Rusholme,3,26,3,4,9,3
Saddleworth North,0,0,0,1,1,1
Saddleworth South,0,0,0,2,0,0
Saddleworth West and Lees,0,1,0,0,3,0
Sale Moor,0,1,0,1,4,2
Sedgley,1,8,2,3,3,1
Sharston,0,6,0,0,7,4
Shaw,0,0,2,2,1,0
Shevington with Lower Ground,0,1,0,2,1,0
Smallbridge and Firgrove,0,1,0,1,0,0
Smithills,0,0,0,2,1,0
South Middleton,0,1,0,1,3,0
Spotland and Falinge,0,0,1,1,2,0
St. James',1,1,0,0,2,0
St. Mary's (Bury),0,3,4,3,5,1
St. Mary's (Oldham),2,9,1,2,10,2
St. Mary's (Trafford),0,1,1,1,4,0
St. Peter's,3,19,2,5,15,2
Stalybridge North,0,2,0,0,2,0
Stalybridge South,0,0,0,3,1,0
Standish with Langtree,0,6,4,0,3,0
Stepping Hill,1,5,3,1,6,1
Stretford,0,5,2,3,6,1
Swinton North,0,3,2,0,2,0
Swinton South,1,7,0,3,2,2
Timperley,0,3,2,5,8,3
Tonge with the Haulgh,0,0,0,0,8,0
Tottington,0,1,1,0,2,0
Tyldesley,0,0,2,1,3,0
Unsworth,0,0,2,2,0,0
Urmston,0,12,4,1,3,0
Village,0,2,0,2,4,0
Walkden North,0,4,1,1,6,0
Walkden South,0,4,2,1,2,0
Wardle and West Littleborough,0,0,0,1,1,1
Waterhead,0,4,0,0,2,0
Weaste and Seedley,0,8,3,1,5,1
Werneth,0,0,1,1,2,0
West Heywood,0,0,0,0,4,0
West Middleton,0,1,1,2,1,0
Westhoughton North and Chew Moor,0,1,3,1,1,0
Westhoughton South,0,1,1,2,1,0
Whalley Range,1,4,0,3,1,1
Wigan Central,0,6,6,1,10,1
Wigan West,0,2,0,3,3,0
Winstanley,1,0,1,0,3,0
Winton,0,0,1,3,1,0
Withington,0,21,4,3,10,3
Woodhouse Park,0,16,3,2,8,21
Worsley,0,3,4,4,0,2
Worsley Mesnes,1,1,0,0,3,0
